,Hotel_Name,Price,Primary_Rating,Location_Rating,Cleanliness_Rating,Service_Rating,Value_Rating,Num_Reviews,Address,Amenities
0,The Hotel At Times Square ,68,4.0,5,4,4,4,4140,"59 West 46th Street, New York City, NY 10036-4120","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Breakfast available', 'Taxi service', 'Fax / photocopying', 'Rooftop terrace', 'Baggage storage', 'Free internet', 'Wifi', 'Internet', 'Complimentary instant cofffee', 'Vending machine', 'Concierge', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Laundry service']"
1,Hotel Edison ,75,4.0,5,4,4,4,13283,"228 West 47th Street Between Broadway and 8 Avenue, New York City, NY 10036-1401","['Paid private parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Evening entertainment', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Public wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Breakfast available', 'Breakfast in the room', 'Vending machine', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Currency exchange', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'Shared lounge / TV area', 'ATM on site', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
2,Park Lane Hotel ,130,4.0,5,4,4,4,9391,"36 Central Park South 59th Street Between 5th Ave & 6th Ave, New York City, NY 10019-1600","['Paid public parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Valet parking', 'Paid private parking on-site', 'Parking', 'Public wifi', 'Paid wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Currency exchange', 'Newspaper', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Laundry service', 'Ironing service']"
3,Crowne Plaza Times Square Manhattan ,89,4.0,5,4.5,4,4,11937,"1605 Broadway Between 48th and 49th Street, New York City, NY 10019-7406","['Valet parking', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Pool', 'Bar / lounge', 'Airport transportation', 'Business Center with Internet Access', 'Conference facilities', 'Paid private parking on-site', 'Parking garage', 'Secured parking', 'Parking', 'Wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Fitness / spa locker rooms', 'Fitness classes', 'Indoor pool', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Vending machine', 'Taxi service', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Currency exchange', 'Gift shop', 'Newspaper', 'Non-smoking hotel', 'ATM on site', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
4,The New Yorker A Wyndham Hotel ,80,4.0,4.5,4,4,4,14918,"481 8th Avenue & 34th Street, New York City, NY 10001-1809","['Paid private parking on-site', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Wifi', 'Public wifi', 'Paid wifi', 'Internet', 'Restaurant', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Baggage storage', 'Concierge', 'Gift shop', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
5,Row Nyc Hotel ,72,3.5,4.5,4,3.5,3.5,25475,"700 8th Avenue, New York City, NY 10036-3901","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Evening entertainment', 'Taxi service', 'Business Center with Internet Access', 'Fax / photocopying', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Paid wifi', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Salon', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Gift shop', 'Non-smoking hotel', 'Shops', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
6,The Hotel @ New York City ,64,4.0,4.5,4,3.5,4,1835,"161 Lexington Ave, New York City, NY 10016-7305","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Breakfast available', 'Taxi service', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour check-in', 'Parking garage', 'Free internet', 'Wifi', 'Internet', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Laundry service']"
7,Park Central Hotel New York ,87,4.0,5,4,4,4,7220,"870 Seventh Avenue at 56th Street, New York City, NY 10019","['Paid private parking nearby', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Parking', 'Wifi', 'Public wifi', 'Internet', 'Banquet room', 'Meeting rooms', 'Baggage storage', 'Concierge', 'Convenience store', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
8,Yotel New York - Updated 2020 Prices & Boutique Hotel Reviews (New York City) - Tripadvisor,90,4.0,4.5,4.5,4,4,13687,"570 10th Avenue (West 42nd Street), New York City, NY 10036-3001","['Valet parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Evening entertainment', 'Business Center with Internet Access', 'Conference facilities', 'Paid public parking on-site', 'Parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Snack bar', 'Vending machine', 'Rooftop bar', 'Meeting rooms', 'Rooftop terrace', 'Baggage storage', 'Concierge', 'Non-smoking hotel', 'ATM on site', '24-hour check-in', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service']"
9,Hotel Pennsylvania ,56,3.0,4.5,3,3,3.5,2037,"401 7th Avenue, New York City, NY 10001","['Free internet', 'Bar / lounge', 'Business Center with Internet Access', 'Conference facilities', '24-hour security', 'Baggage storage', '24-hour check-in', '24-hour front desk', 'Wifi', 'Paid wifi', 'Paid internet', 'Internet', 'Coffee shop', 'Breakfast available', 'Vending machine', 'Meeting rooms', 'Concierge', 'Convenience store', 'Shops', 'ATM on site', 'Express check-in / check-out', 'Laundry service']"
