,Hotel_Name,Price,Primary_Rating,Location_Rating,Cleanliness_Rating,Service_Rating,Value_Rating,Address,Amenities
0,Park Lane Hotel ,0,4.0,5,4,4,4,"36 Central Park South 59th Street Between 5th Ave & 6th Ave, New York City, NY 10019-1600","['Paid public parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Valet parking', 'Paid private parking on-site', 'Parking', 'Public wifi', 'Paid wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Convenience store', 'Currency exchange', 'Newspaper', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Laundry service', 'Ironing service']"
1,The Leon Hotel ,0,4.5,4,4.5,4.5,4.5,"125 Canal St, New York City, NY 10002-5049","['Free High Speed Internet (WiFi)', 'Free internet', 'Complimentary instant cofffee', 'Vending machine', 'Car hire', 'Baggage storage', 'Non-smoking hotel', '24-hour front desk', 'Wifi', 'Public wifi', 'Internet']"
2,Radio City Apartments ,0,4.0,5,4.5,4,4.5,"142 West 49th Street, New York City, NY 10019-6802","['Parking', 'Free High Speed Internet (WiFi)', 'Free internet', 'Vending machine', 'Fax / photocopying', '24-hour security', 'Baggage storage', '24-hour front desk', 'Wifi', 'Concierge', 'Newspaper', 'Non-smoking hotel', 'Umbrella']"
3,The Plaza - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,0,4.5,5,4.5,4.5,3.5,"Fifth Avenue at Central Park South, New York City, NY 10019","['Parking', 'Free internet', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Bowling offsite', 'Babysitting', 'Books, DVDs, music for children', 'Wifi', 'Free wifi in the business center', 'Paid wifi', 'Paid internet', 'Internet', 'Coffee shop', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Breakfast in the room', 'Happy hour', ""Kids' meals"", 'Snack bar', 'Wine / champagne', 'Evening entertainment', 'Walking tours', 'Board games / puzzles', ""Children's television networks"", 'Indoor play area for children', 'Highchairs available', 'Pets Allowed ( Dog / Pet Friendly )', 'Airport transportation', 'Car hire', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Banquet room', 'Meeting rooms', 'Fax / photocopying', 'Spa', 'Facial treatments', 'Hand massage', 'Makeup services', 'Manicure', 'Neck massage', 'Pedicure', 'Waxing services', 'Concierge', 'Convenience store', 'Currency exchange', 'Gift shop', 'Non-smoking hotel', 'Butler service', 'Doorperson', 'First aid kit', 'Umbrella', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
4,Hilton Times Square ,0,4.5,5,4.5,4.5,4,"234 West 42nd Street, New York City, NY 10036-7215","['Paid private parking nearby', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Nightclub / DJ', 'Taxi service', 'Business Center with Internet Access', 'Conference facilities', 'Paid wifi', 'Paid internet', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Meeting rooms', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Gift shop', 'Non-smoking hotel', 'Shops', 'ATM on site', 'Doorperson', '24-hour front desk', 'Express check-in / check-out', 'Dry cleaning', 'Laundry service', 'Ironing service']"
5,Hilton Garden Inn New York Times Square South ,0,4.5,4.5,4.5,4.5,4.5,"326 W 37th St, New York City, NY 10018-4208","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Children Activities (Kid / Family Friendly)', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Secured parking', 'Parking', 'Free internet', 'Wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Convenience store', 'Non-smoking hotel', 'Outdoor furniture', '24-hour front desk', 'Dry cleaning', 'Laundry service']"
6,Nomo Soho Hotel ,0,4.0,4.5,4.5,4,4,"9 Crosby Street, New York City, NY 10013","['Valet parking', 'Wifi', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Pets Allowed ( Dog / Pet Friendly )', 'Car hire', 'Banquet room', 'Meeting rooms', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast in the room', 'Fax / photocopying', '24-hour security', 'Baggage storage', 'Concierge', 'Newspaper', 'Non-smoking hotel', '24-hour front desk', 'Dry cleaning', 'Ironing service']"
7,Seton Hotel ,0,4.0,4.5,4.5,4.5,4,"144 East 40th Street, New York City, NY 10016-1762","['Paid private parking nearby', 'Free High Speed Internet (WiFi)', 'Vending machine', 'Taxi service', 'Fax / photocopying', 'Baggage storage', 'Non-smoking hotel', '24-hour check-in', 'Free internet', 'Wifi', 'Public wifi', 'Internet', '24-hour front desk', 'Laundry service']"
8,Millennium Premier New York Times Square ,0,4.0,5,4.5,4.5,4,"133 W 44th St, New York City, NY 10036-4012","['Parking', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Free breakfast', 'Business Center with Internet Access', 'Meeting rooms', 'Baggage storage', 'Concierge', 'Free internet', 'Wifi', 'Internet', 'Bar / lounge', 'Breakfast buffet', 'Non-smoking hotel', 'Dry cleaning', 'Laundry service']"
9,Four Points By Sheraton Midtown - Times Square - Updated 2020 Prices & Hotel Reviews (New York City) - Tripadvisor,0,4.0,4.5,4.5,4.5,4,"326 W 40th St, New York City, NY 10018-1404","['Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Business Center with Internet Access', 'Meeting rooms', '24-hour security', 'Baggage storage', '24-hour front desk', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Breakfast available', 'Breakfast buffet', 'Non-smoking hotel', 'Express check-in / check-out', 'Dry cleaning', 'Ironing service']"
10,Walker Hotel Greenwich Village ,0,4.5,5,4.5,4.5,4,"52 W 13th St, New York City, NY 10011-7902","['Paid public parking nearby', 'Free High Speed Internet (WiFi)', 'Fitness Center with Gym / Workout Room', 'Bar / lounge', 'Bicycle rental', 'Taxi service', '24-hour security', 'Concierge', 'Valet parking', 'Free internet', 'Wifi', 'Public wifi', 'Internet', 'Restaurant', 'Newspaper', 'Non-smoking hotel', 'Doorperson', '24-hour front desk', 'Dry cleaning', 'Laundry service', 'Ironing service']"
